PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
28;079;24;88;28079024_88_98;2022;01;97;V;89;V;91;V;30;V;80;V;111;V;105;V;77;V;98;V;123;V;104;V;112;V;92;V;99;V;110;V;116;V;110;V;119;V;102;V;92;V;120;V;95;V;73;V;56;V;53;V;113;V;127;V;135;V;137;V;132;V;134;V
28;079;24;88;28079024_88_98;2022;02;137;V;141;V;122;V;89;V;137;V;144;V;147;V;149;V;150;V;136;V;138;V;127;V;111;V;151;V;161;V;152;V;167;V;163;V;96;V;175;V;177;V;184;V;147;V;122;V;29;V;17;V;134;V;191;V;00000;N;00000;N;00000;N
28;079;24;89;28079024_89_98;2022;01;0;V;0;V;0;V;5.6;V;3.7;V;0.1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;24;89;28079024_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0.9;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;3.5;V;1.8;V;0.1;V;0;V;00000;N;00000;N;00000;N
28;079;35;83;28079035_83_98;2022;01;11.8;V;10.7;V;10.6;V;8.4;V;6.7;V;5.8;V;6.7;V;4.8;V;10.1;V;13.1;V;11.2;V;9.3;V;7.1;V;6.2;V;5.8;V;5.7;V;6.5;V;7.5;V;7.8;V;8.2;V;6.6;V;6.6;V;7;V;7.7;V;8.8;V;8.1;V;9.8;V;10.4;V;10.7;V;10.9;V;10;V
28;079;35;83;28079035_83_98;2022;02;11.8;V;12.2;V;11.2;V;10.8;V;11.3;V;9.9;V;11;V;11.9;V;11.4;V;10.7;V;-2.7;N;-55;N;-55;N;-49.7;N;8.7;V;10.6;V;12.1;V;13.1;V;10.8;V;9.7;V;12.4;V;14.5;V;13.2;V;12.7;V;9.6;V;9.1;V;10.8;V;12.4;V;00000;N;00000;N;00000;N
28;079;35;86;28079035_86_98;2022;01;58;V;63;V;71;V;81;V;72;V;72;V;62;V;72;V;67;V;65;V;63;V;51;V;53;V;56;V;56;V;62;V;58;V;50;V;43;V;51;V;53;V;53;V;62;V;59;V;57;V;58;V;46;V;30;V;28;V;28;V;34;V
28;079;35;86;28079035_86_98;2022;02;48;V;53;V;53;V;62;V;54;V;39;V;44;V;45;V;50;V;55;V;50;N;-25;N;-25;N;-20;N;53;V;57;V;61;V;59;V;51;V;47;V;44;V;22;V;32;V;38;V;67;V;77;V;67;V;60;V;00000;N;00000;N;00000;N
28;079;36;83;28079036_83_98;2022;01;9.7;V;9.4;V;9.1;V;8.3;V;6.2;V;4.4;V;4.8;V;4;V;8.9;V;11.3;V;10.4;V;7.2;V;4.4;V;3.3;V;3.3;V;3.5;V;4.4;V;5.1;V;5.6;V;6.5;V;4.4;V;4.3;V;5;V;6.1;V;7.6;V;5.4;V;6.8;V;7.1;V;7.5;V;8.3;V;8.1;V
28;079;36;83;28079036_83_98;2022;02;10.2;V;11;V;9.9;V;10.2;V;9.6;V;7.8;V;9.2;V;9.8;V;9.2;V;9.1;V;10.7;V;10.3;V;9.6;V;8.1;V;7.7;V;9.7;V;10.4;V;11.5;V;9.5;V;7.7;V;10.7;V;12.2;V;11.7;V;10.7;V;8.6;V;8.3;V;10.1;V;10.9;V;00000;N;00000;N;00000;N
28;079;36;86;28079036_86_98;2022;01;64;V;69;V;81;V;85;V;75;V;80;V;71;V;78;V;73;V;74;V;69;V;59;V;64;V;69;V;68;V;73;V;67;V;56;V;47;V;55;V;62;V;61;V;73;V;68;V;64;V;70;V;55;V;38;V;33;V;32;V;37;V
28;079;36;86;28079036_86_98;2022;02;54;V;59;V;58;V;66;V;61;V;46;V;44;V;53;V;58;V;62;V;60;V;60;V;69;V;63;V;57;V;62;V;70;V;67;V;56;V;54;V;51;V;26;V;36;V;44;V;74;V;83;V;72;V;67;V;00000;N;00000;N;00000;N
28;079;38;83;28079038_83_98;2022;01;11.6;V;10.6;V;10.5;V;7.9;V;5.8;V;5.1;V;5.8;V;4.4;V;9.3;V;12.5;V;10.8;V;8.4;V;6.1;V;5.2;V;5.2;V;5.5;V;6.5;V;7.4;V;8.1;V;7.9;V;5.8;V;5.7;V;6.2;V;6.8;V;7.9;V;7.1;V;8.9;V;9.5;V;10.3;V;10.9;V;9.9;V
28;079;38;83;28079038_83_98;2022;02;11;V;12.4;V;11.3;V;10.5;V;10.3;V;9.1;V;10.9;V;11.2;V;11.2;V;10.6;V;11.9;V;11.3;V;9.6;V;7.6;V;8.1;V;9.6;V;12.1;V;12.8;V;10;V;9;V;11.8;V;13.7;V;13;V;12.1;V;9;V;8.2;V;9.8;V;12;V;00000;N;00000;N;00000;N
28;079;38;86;28079038_86_98;2022;01;55;V;62;V;73;V;84;V;75;V;74;V;63;V;73;V;71;V;67;V;64;V;52;V;55;V;57;V;56;V;63;V;58;V;47;V;38;V;50;V;55;V;55;V;66;V;62;V;60;V;60;V;46;V;29;V;25;V;24;V;30;V
28;079;38;86;28079038_86_98;2022;02;49;V;52;V;53;V;63;V;56;V;39;V;38;V;46;V;50;V;55;V;54;V;51;V;67;V;63;V;55;V;60;V;62;V;61;V;53;V;47;V;44;V;20;V;31;V;36;V;68;V;79;V;70;V;61;V;00000;N;00000;N;00000;N
28;079;39;83;28079039_83_98;2022;01;10.7;V;9.4;V;9.7;V;7.2;V;6.2;V;4.6;V;5.3;V;3.6;V;9.5;V;12.6;V;10.2;V;7.5;V;5.6;V;4.7;V;4.6;V;4.7;V;5.4;V;6;V;6.9;V;6.9;V;5.3;V;5.3;V;5.7;V;6.9;V;8.2;V;6.8;V;8.1;V;8.5;V;9;V;9.4;V;8.6;V
28;079;39;83;28079039_83_98;2022;02;11;V;10.9;V;10.4;V;10.4;V;10;V;8.5;V;9.5;V;10.7;V;10.2;V;9.8;V;11;V;11;V;9.3;V;8.1;V;8.1;V;9.7;V;10.9;V;12.2;V;9.7;V;8.5;V;11.1;V;13.2;V;12;V;11.7;V;8.9;V;8.5;V;10.5;V;11.6;V;00000;N;00000;N;00000;N
28;079;39;86;28079039_86_98;2022;01;63;V;71;V;79;V;87;V;78;V;80;V;71;V;80;V;75;V;72;V;71;V;62;V;63;V;66;V;65;V;71;V;67;V;58;V;49;V;61;V;64;V;61;V;73;V;67;V;65;V;66;V;56;V;40;V;36;V;37;V;44;V
28;079;39;86;28079039_86_98;2022;02;55;V;62;V;61;V;68;V;63;V;49;V;53;V;54;V;59;V;63;V;65;V;60;V;72;V;66;V;61;V;65;V;71;V;68;V;60;V;56;V;53;V;30;V;41;V;46;V;73;V;82;V;73;V;68;V;00000;N;00000;N;00000;N
28;079;39;89;28079039_89_98;2022;01;0;V;0;V;0;V;0;V;3.2;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;39;89;28079039_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;1.1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;2.1;V;2.5;V;0.1;V;0;V;00000;N;00000;N;00000;N
28;079;54;81;28079054_81_98;2022;01;0.64;V;0.65;V;0.67;V;2.03;V;2.51;V;0.84;V;1.05;V;0.74;V;2.94;V;1.44;V;0.92;V;0.94;V;0.94;V;1;V;0.72;V;0.64;V;0.52;V;0.18;N;0.13;N;0.5;V;0.43;V;0.41;V;0.32;V;0.24;V;0.59;V;1.02;V;0.91;V;0.91;V;0.8;V;0.63;V;0.94;V
28;079;54;81;28079054_81_98;2022;02;2.21;V;0.69;V;0.78;V;0.69;V;1.4;V;1.17;V;0.91;V;1.1;V;0.77;V;0.66;V;0.8;V;0.76;V;1.29;V;2.78;V;1.02;V;1.59;V;0.75;V;0.86;V;1.98;V;0.85;V;1.02;V;1.19;V;0.91;V;0.82;V;1.42;V;1.23;V;0.89;V;0.8;V;00000;N;00000;N;00000;N
28;079;54;82;28079054_82_98;2022;01;78;V;70;V;5;V;34;V;268;V;1;V;6;V;195;V;268;V;16;V;16;V;3;V;68;V;69;V;81;V;44;V;19;N;28;N;93;V;80;V;54;V;39;V;18;V;11;V;41;V;60;V;26;V;3;V;38;V;47;V;26;V
28;079;54;82;28079054_82_98;2022;02;42;V;66;V;31;V;67;V;28;V;47;V;17;V;48;V;2;V;65;V;45;V;99;V;202;V;198;V;185;V;63;V;90;V;0;V;39;V;0;V;8;V;56;V;22;V;2;V;33;V;37;V;86;V;198;V;00000;N;00000;N;00000;N
28;079;54;83;28079054_83_98;2022;01;9.9;V;9.2;V;9.4;V;8;V;6.4;V;4.6;V;5.1;V;3.5;V;7.9;V;10.7;V;10.6;V;7.4;V;5.3;V;4.2;V;4;V;3.9;V;1;V;-1.4;V;-1.4;V;-0.5;V;-1.9;V;-2.2;V;-1.6;V;-0.9;V;4;V;6.1;V;7.2;V;7.5;V;8.2;V;8.6;V;8.5;V
28;079;54;83;28079054_83_98;2022;02;10.5;V;11.1;V;9.9;V;9.9;V;9.8;V;8.3;V;9.7;V;10.3;V;9.8;V;9.5;V;10.9;V;10.7;V;9.7;V;8.4;V;8.2;V;9.6;V;10.6;V;12;V;9.5;V;8.3;V;11.3;V;12.6;V;11.9;V;11.1;V;8.7;V;8.3;V;9.9;V;11;V;00000;N;00000;N;00000;N
28;079;54;86;28079054_86_98;2022;01;65;V;70;V;77;V;82;V;73;V;78;V;68;V;80;V;75;V;75;V;67;V;58;V;59;V;64;V;65;V;69;V;67;V;59;V;52;V;57;V;62;V;62;V;72;V;68;V;63;V;66;V;52;V;37;V;31;V;32;V;36;V
28;079;54;86;28079054_86_98;2022;02;51;V;57;V;56;V;64;V;58;V;42;V;42;V;51;V;55;V;57;V;57;V;56;V;68;V;60;V;55;V;60;V;66;V;62;V;55;V;50;V;47;V;25;V;34;V;40;V;72;V;80;V;71;V;66;V;00000;N;00000;N;00000;N
28;079;54;88;28079054_88_98;2022;01;103;V;89;V;96;V;56;V;83;V;112;V;110;V;77;V;102;V;109;V;111;V;119;V;89;V;120;V;118;V;120;V;60;V;102;V;103;V;103;V;104;V;103;V;91;V;50;V;52;V;125;V;133;V;141;V;143;V;141;V;142;V
28;079;54;88;28079054_88_98;2022;02;143;V;148;V;137;V;93;V;125;V;156;V;157;V;158;V;159;V;147;V;137;V;141;V;91;V;122;V;174;V;154;V;177;V;175;V;99;V;187;V;187;V;195;V;153;V;125;V;43;V;26;V;149;V;200;V;00000;N;00000;N;00000;N
28;079;54;89;28079054_89_98;2022;01;0;V;0;V;0;V;4;V;3.6;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;54;89;28079054_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;3;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;14.5;V;11;V;3;V;0;V;00000;N;00000;N;00000;N
28;079;56;81;28079056_81_98;2022;01;0.7;V;0.72;V;0.73;V;1.12;V;1.22;V;0.87;V;0.87;V;0.84;V;1.24;V;1.23;V;0.8;V;1.08;V;0.91;V;0.91;V;0.77;V;0.76;V;0.73;V;0.44;V;0.18;V;0.45;V;0.41;V;0.23;V;0.21;V;0.36;V;0.45;V;0.33;V;0.26;V;0.24;V;0.27;V;0.2;V;0.27;V
28;079;56;81;28079056_81_98;2022;02;0.9;V;0.2;V;0.2;V;0.13;V;0.73;V;0.26;V;0.35;V;0.34;V;0.24;V;0.42;V;0.78;V;0.73;V;1.39;V;1.38;V;0.96;V;1.03;V;0.74;V;0.78;V;1.59;V;0.85;V;0.84;V;1.05;V;0.73;V;0.75;V;1.18;V;1.34;V;0.85;V;0.82;V;00000;N;00000;N;00000;N
28;079;56;82;28079056_82_98;2022;01;66;V;72;V;77;V;57;V;227;V;14;V;70;V;66;V;1;V;69;V;66;V;37;V;56;V;63;V;63;V;16;V;67;V;0;V;28;V;64;V;70;V;0;V;75;V;65;V;62;V;62;V;0;V;66;V;66;V;67;V;66;V
28;079;56;82;28079056_82_98;2022;02;68;V;0;V;65;V;0;V;61;V;65;V;68;V;66;V;72;V;74;V;65;V;33;V;216;V;259;V;220;V;69;V;38;V;70;V;68;V;65;V;82;V;59;V;73;V;75;V;59;V;66;V;63;V;60;V;00000;N;00000;N;00000;N
28;079;56;83;28079056_83_98;2022;01;9.3;V;8.9;V;9.1;V;7.4;V;7;V;5.3;V;5.9;V;3.9;V;9.3;V;12.6;V;10.6;V;7.4;V;5.1;V;4.1;V;4;V;3.9;V;4.9;V;1.1;V;-1.6;V;-0.7;V;-1.6;V;-1.4;V;-1.4;V;-0.6;V;0.9;V;-0.8;V;-0.2;V;-0.3;V;-0.3;V;0.1;V;0.5;V
28;079;56;83;28079056_83_98;2022;02;3.1;V;3;V;1.8;V;2.3;V;2.7;V;1.1;V;1.9;V;2.9;V;5.7;V;9.4;V;11;V;10.5;V;9.9;V;9;V;8.6;V;10.5;V;11.1;V;12.1;V;10.3;V;8.6;V;11.3;V;13.4;V;11.6;V;10.9;V;9.6;V;9;V;10.3;V;11.5;V;00000;N;00000;N;00000;N
28;079;56;86;28079056_86_98;2022;01;67;V;71;V;77;V;83;V;71;V;77;V;66;V;76;V;70;V;67;V;65;V;58;V;63;V;64;V;65;V;71;V;66;V;62;V;57;V;60;V;62;V;60;V;72;V;68;V;63;V;69;V;60;V;49;V;45;V;45;V;45;V
28;079;56;86;28079056_86_98;2022;02;54;V;61;V;63;V;69;V;60;V;50;V;54;V;54;V;62;V;65;V;63;V;62;V;69;V;64;V;58;V;62;V;69;V;68;V;58;V;56;V;53;V;31;V;44;V;50;V;71;V;80;V;72;V;69;V;00000;N;00000;N;00000;N
28;079;56;87;28079056_87_98;2022;01;957;V;958;V;955;V;945;V;946;V;948;V;955;V;956;V;951;V;950;V;953;V;956;V;960;V;960;V;956;V;958;V;960;V;909;N;909;N;954;N;954;V;956;V;954;V;955;V;958;V;957;V;957;V;959;V;961;V;957;V;955;V
28;079;56;87;28079056_87_98;2022;02;956;V;956;V;952;V;950;V;952;V;956;V;957;V;958;V;841;N;955;N;954;V;952;V;948;V;948;V;955;V;956;V;955;V;948;V;950;V;957;V;957;V;957;V;952;V;949;V;952;V;950;V;951;V;954;V;00000;N;00000;N;00000;N
28;079;56;89;28079056_89_98;2022;01;0;V;0;V;0;V;5.9;V;4.1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;56;89;28079056_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;3;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;13;V;7;V;1;V;0;V;00000;N;00000;N;00000;N
28;079;58;83;28079058_83_98;2022;01;6;V;5.6;V;6;V;5.3;V;5.7;V;2.3;V;2.6;V;1.5;V;8.8;V;11.5;V;6.4;V;3.4;V;1.5;V;0.6;V;0.7;V;0.8;V;1.4;V;-2.3;V;-4.7;V;-3.9;V;-4.9;V;-4.7;V;-4;V;-1.8;V;-0.8;V;-3.9;V;-3.2;V;-3.6;V;-3.5;V;-3.2;V;-2.8;V
28;079;58;83;28079058_83_98;2022;02;0.4;V;-0.6;V;-1.1;V;0.2;V;-0.5;V;-2.1;V;-1.1;V;-0.6;V;-1.2;V;-1.1;V;0.2;V;-0.1;V;-0.7;V;0.1;V;-1.3;V;-0.2;V;0.4;V;1.1;V;0.3;V;-2.1;V;0.8;V;0.9;V;0;V;0.4;V;0.9;V;0.5;V;1.8;V;1.4;V;00000;N;00000;N;00000;N
28;079;58;86;28079058_86_98;2022;01;78;V;82;V;86;V;90;V;78;V;87;V;81;V;82;V;75;V;72;V;79;V;72;V;79;V;76;V;78;V;79;V;77;V;75;V;70;V;75;V;76;V;76;V;83;V;76;V;74;V;78;V;72;V;63;V;60;V;60;V;59;V
28;079;58;86;28079058_86_98;2022;02;62;V;72;V;75;V;77;V;75;V;69;V;64;V;67;V;71;V;74;V;72;V;71;V;77;V;68;V;66;V;72;V;77;V;75;V;68;V;69;V;61;V;47;V;58;V;61;V;75;V;85;V;81;V;75;V;00000;N;00000;N;00000;N
28;079;59;81;28079059_81_98;2022;01;0.59;V;0.5;V;0.54;V;1.33;V;1.76;V;0.64;V;1.21;V;0.7;V;1.8;V;1.52;V;0.84;V;0.75;V;0.72;V;0.75;V;0.59;V;0.58;V;0.52;V;0.58;V;0.55;V;0.97;V;0.99;V;0.75;V;0.83;V;0.66;V;0.56;V;0.82;V;0.75;V;0.76;V;0.71;V;0.65;V;1.04;V
28;079;59;81;28079059_81_98;2022;02;3.48;V;0.69;V;0.67;V;0.52;V;1.67;V;0.9;V;0.82;V;0.96;V;0.77;V;0.61;V;0.56;V;0.64;V;1.77;V;2.81;V;1.23;V;1.2;V;0.57;V;0.87;V;2.41;V;0.65;V;1.11;V;0.91;V;0.71;V;0.79;V;1.48;V;1.12;V;0.68;V;0.87;V;00000;N;00000;N;00000;N
28;079;59;82;28079059_82_98;2022;01;0;V;0;V;0;V;7;V;5;V;0;V;0;V;0;V;0;V;0;V;1;V;0;V;0;V;0;V;0;V;0;V;2;V;0;V;3;V;0;V;1;V;8;V;2;V;0;V;5;V;7;V;0;V;0;V;0;V;0;V;0;V
28;079;59;82;28079059_82_98;2022;02;1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;1;V;5;V;0;V;11;V;2;V;3;V;0;V;0;V;2;V;7;V;0;V;0;V;2;V;0;V;0;V;0;V;0;V;0;V;00000;N;00000;N;00000;N
28;079;59;83;28079059_83_98;2022;01;8.7;V;7.9;V;8;V;6.5;V;5.9;V;3.4;V;4.2;V;2.6;V;6.5;V;10.3;V;9.8;V;6.1;V;3.3;V;2.3;V;2.5;V;2.5;V;3.5;V;4.1;V;4.8;V;5.4;V;3.7;V;3.2;V;3.9;V;5.2;V;6.7;V;4.1;V;5.6;V;6.1;V;6.7;V;7.4;V;7.1;V
28;079;59;83;28079059_83_98;2022;02;9.7;V;10.2;V;8.8;V;8.8;V;8.7;V;6.8;V;8.3;V;8.7;V;7.9;V;8.2;V;9.3;V;9.3;V;8.9;V;8;V;6.9;V;8.5;V;9.6;V;10.7;V;8.6;V;7;V;9.9;V;11.1;V;9.9;V;9.3;V;7.8;V;7.4;V;9.3;V;9.9;V;00000;N;00000;N;00000;N
28;079;59;86;28079059_86_98;2022;01;65;V;71;V;81;V;87;V;75;V;82;V;72;V;82;V;81;V;76;V;70;V;62;V;67;V;70;V;68;V;73;V;67;V;58;V;49;V;59;V;63;V;63;V;75;V;71;V;67;V;72;V;58;V;41;V;34;V;34;V;39;V
28;079;59;86;28079059_86_98;2022;02;55;V;59;V;57;V;69;V;63;V;50;V;48;V;53;V;59;V;60;V;65;V;62;V;68;V;60;V;60;V;64;V;70;V;67;V;58;V;55;V;52;V;30;V;39;V;47;V;75;V;84;V;75;V;69;V;00000;N;00000;N;00000;N
28;079;59;87;28079059_87_98;2022;01;950;V;951;V;947;V;937;V;939;V;941;V;948;V;949;V;944;V;943;V;946;V;949;V;953;V;952;V;949;V;951;V;952;V;951;V;950;V;948;V;946;V;949;V;947;V;948;V;951;V;950;V;950;V;952;V;953;V;950;V;948;V
28;079;59;87;28079059_87_98;2022;02;949;V;949;V;944;V;943;V;945;V;949;V;950;V;951;V;951;V;949;V;947;V;945;V;941;V;940;V;947;V;949;V;947;V;941;V;943;V;949;V;949;V;950;V;945;V;942;V;945;V;943;V;944;V;947;V;00000;N;00000;N;00000;N
28;079;59;88;28079059_88_98;2022;01;98;V;82;V;92;V;48;V;73;V;105;V;108;V;71;V;93;V;113;V;108;V;116;V;106;V;117;V;113;V;115;V;117;V;119;V;122;V;123;V;125;V;123;V;103;V;55;V;58;V;124;V;131;V;139;V;141;V;139;V;138;V
28;079;59;88;28079059_88_98;2022;02;142;V;146;V;128;V;92;V;136;V;152;V;151;V;154;V;155;V;141;V;124;V;137;V;110;V;169;V;165;V;146;V;170;V;167;V;90;V;179;V;183;V;190;V;153;V;124;V;36;V;21;V;142;V;193;V;00000;N;00000;N;00000;N
28;079;59;89;28079059_89_98;2022;01;0;V;0;V;0;V;6;V;4.1;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V
28;079;59;89;28079059_89_98;2022;02;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0.9;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;0;V;4.2;V;1.7;V;0.4;V;0;V;00000;N;00000;N;00000;N
